State,Year_Built,Square_Footage,CLUE_Loss_Count,Credit_Score,Construction_Type,Protection_Class,AOI,Deductible,Territory,Roof_Age_Applicant,Fire_Alarm,Burglar_Alarm,Roof_Vulnerability_Satellite,Wildfire_Exposure_Daily,Water_Loss_Recency_Months,RCV_Appraised,Fire_Hydrant_Distance,Tree_Canopy_Density,Crime_Severity_Index,Pluvial_Flood_Depth,Building_Code_Compliance,Slope_Steepness,Attic_Ventilation,Hail_Frequency,Soil_Liquefaction_Risk,Dwelling_Age,RCV_Overstatement,Credit_Score_Suppressed,Risk_Tier,Expected_Pure_Premium,Claim_Count,Claim_Amount
GA,1980,1295.0,1,632.0,Masonry,8,345474.0,1000,Suburban,12.0,True,True,8.9,0.5,58.0,330546.0,0.473,22.4,13.8,4.4,81.0,33.5,Good,3.0,Low,46,14928.0,False,Moderate,1140.03,0,0.0
OK,1985,2854.0,1,789.0,Frame,3,744366.0,1000,Suburban,28.0,True,False,18.2,0.5,30.0,784919.0,0.948,27.3,40.9,6.2,46.0,29.7,Fair,3.0,Low,41,0.0,False,High,3165.93,2,3973.81
MA,1997,3220.0,0,700.0,Frame,4,416872.0,1000,Suburban,18.0,True,False,14.8,2.2,30.0,476358.0,1.13,78.1,37.6,8.7,80.0,29.1,Fair,2.0,Low,29,0.0,True,Moderate,1775.24,1,2881.72
NY,1954,1267.0,1,740.0,Masonry,4,337671.0,1000,Suburban,12.0,True,False,7.2,16.5,9.0,295301.0,0.172,14.7,64.2,9.5,50.0,13.0,Fair,0.0,Low,72,42370.0,False,Moderate,1242.89,2,3819.91
TX,1993,2795.0,0,616.0,Frame,7,346522.0,2000,Suburban,26.0,True,True,15.4,12.9,36.0,310337.0,0.796,42.1,18.6,10.2,41.0,10.3,Poor,6.0,Low,33,36185.0,False,High,2571.02,2,5179.44
CO,1966,2324.0,0,692.0,Masonry,7,1423984.0,1000,Rural,16.0,True,True,8.7,45.9,84.0,1354555.0,0.418,66.0,83.2,1.7,80.0,10.1,Fair,1.0,Moderate,60,69429.0,False,High,3191.84,0,0.0
CA,2008,2020.0,0,700.0,Frame,1,383921.0,5000,Urban,6.0,True,True,2.9,68.8,37.0,423969.0,0.88,18.8,67.6,10.1,53.0,23.3,Good,0.0,Moderate,18,0.0,True,Moderate,1545.71,0,0.0
MA,1964,2258.0,0,700.0,Frame,9,602908.0,1000,Suburban,5.0,True,True,6.2,13.4,22.0,580662.0,0.038,80.6,89.3,5.9,84.0,4.3,Fair,0.0,High,62,22246.0,True,Moderate,1024.67,0,0.0
OK,1955,2444.0,0,810.0,Frame,8,643309.0,1000,Suburban,30.0,False,False,17.0,16.0,27.0,643159.0,0.02,10.7,24.0,9.5,47.0,8.7,Poor,5.0,Low,71,150.0,False,Very High,3571.67,4,35645.56
MA,1982,2837.0,0,700.0,Frame,9,970430.0,1000,Urban,26.0,False,True,17.9,0.5,5.0,996863.0,0.313,57.6,33.3,0.0,61.0,5.6,Poor,1.0,Low,44,0.0,True,Very High,4015.14,1,4836.48
FL,1982,2808.0,1,665.0,Fire Resistive,8,1144997.0,500,Suburban,22.0,False,False,15.9,8.6,59.0,998323.0,0.842,70.5,23.0,17.7,67.0,28.0,Fair,2.0,Low,44,146674.0,False,Very High,3683.36,1,1827.18
GA,1988,1371.0,0,709.0,Masonry,4,205878.0,500,Suburban,20.0,False,True,10.4,0.5,56.0,178743.0,0.611,82.6,27.2,11.7,78.0,16.6,Fair,3.0,Moderate,38,27135.0,False,Low,820.27,0,0.0
WA,2013,1843.0,0,645.0,Masonry,10,922365.0,2000,Urban,14.0,True,False,10.8,36.4,55.0,947677.0,0.095,40.1,88.8,7.2,65.0,7.1,Poor,0.0,Moderate,13,0.0,False,Moderate,1902.46,0,0.0
MA,2001,2251.0,1,700.0,Fire Resistive,8,511299.0,2000,Suburban,12.0,True,False,4.3,2.6,42.0,528755.0,0.176,16.4,78.9,0.6,55.0,0.1,Fair,2.0,Low,25,0.0,True,Low,969.24,0,0.0
TX,1976,3065.0,0,709.0,Frame,2,302316.0,2000,Suburban,4.0,False,False,3.5,0.7,19.0,341955.0,0.032,45.4,19.4,5.9,45.0,13.3,Good,7.0,Low,50,0.0,False,Moderate,1213.82,0,0.0
NY,2003,700.0,2,650.0,Frame,3,745627.0,500,Urban,21.0,False,True,10.3,21.6,28.0,832420.0,0.021,75.1,27.8,7.3,63.0,18.1,Good,2.0,Low,23,0.0,False,High,3096.63,2,5904.01
CA,1987,1864.0,1,700.0,Frame,2,319830.0,2000,Urban,4.0,False,True,2.7,39.4,82.0,327734.0,0.261,48.4,86.5,0.4,54.0,11.6,Fair,2.0,Moderate,39,0.0,True,Low,993.1,0,0.0
TX,1966,1360.0,0,756.0,Frame,8,859452.0,1000,Urban,29.0,False,False,20.3,21.3,49.0,843753.0,0.317,12.0,65.2,17.5,99.0,22.0,Good,5.0,Moderate,60,15699.0,False,Very High,5602.57,3,12271.95
LA,1951,1447.0,0,640.0,Frame,10,404356.0,5000,Rural,8.0,False,True,2.8,16.7,72.0,363676.0,0.107,40.1,12.8,4.6,73.0,28.0,Fair,1.0,Low,75,40680.0,False,Low,855.97,0,0.0
MA,1950,2742.0,0,700.0,Frame,8,779259.0,1000,Suburban,29.0,False,False,20.2,23.9,33.0,875830.0,0.169,7.4,85.2,6.1,87.0,1.3,Good,1.0,Low,76,0.0,True,High,2449.73,1,2837.82
GA,1966,1907.0,0,692.0,Frame,4,670284.0,2000,Suburban,40.0,True,True,29.7,0.5,46.0,694203.0,0.788,32.8,36.9,0.0,57.0,27.0,Fair,2.0,Moderate,60,0.0,False,Very High,4635.61,2,12630.53
FL,2010,916.0,0,592.0,Frame,9,278732.0,2000,Urban,3.0,False,True,0.0,4.6,13.0,247008.0,0.02,8.5,25.3,0.7,98.0,21.6,Good,0.0,Moderate,16,31724.0,False,Low,774.13,1,412.64
FL,1984,2113.0,0,774.0,Masonry,7,254553.0,1000,Urban,17.0,True,True,7.1,8.6,25.0,221930.0,2.183,74.0,59.7,29.2,75.0,21.7,Good,2.0,High,42,32623.0,False,Moderate,1375.94,0,0.0
NY,1983,3320.0,0,640.0,Frame,4,517831.0,1000,Suburban,16.0,True,True,6.6,3.0,16.0,506322.0,0.02,43.0,20.8,7.6,96.0,1.3,Good,2.0,Moderate,43,11509.0,False,Moderate,1162.86,0,0.0
TX,1979,1206.0,1,707.0,Frame,10,385709.0,5000,Urban,23.0,True,True,14.0,18.9,2.0,363595.0,0.451,50.3,50.9,5.7,65.0,12.3,Fair,7.0,Low,47,22114.0,False,High,2502.47,0,0.0
CA,1968,2493.0,0,700.0,Masonry,6,646691.0,2000,Rural,11.0,False,False,8.9,49.3,74.0,638403.0,0.767,56.6,27.4,2.5,48.0,15.8,Good,0.0,Moderate,58,8288.0,True,Moderate,1705.27,2,1560.48
NY,2002,3062.0,1,603.0,Frame,7,432090.0,2000,Suburban,25.0,True,False,16.7,10.6,51.0,487515.0,0.892,36.7,21.1,6.6,42.0,31.6,Good,2.0,Low,24,0.0,False,High,2598.23,0,0.0
TX,1950,2173.0,1,690.0,Masonry,6,324757.0,1000,Suburban,21.0,False,False,8.3,15.1,44.0,335042.0,2.446,16.8,78.2,8.6,47.0,11.2,Poor,7.0,Low,76,0.0,False,Moderate,1671.82,0,0.0
LA,1995,3260.0,1,612.0,Masonry,3,560964.0,500,Suburban,25.0,False,False,15.0,3.4,51.0,575004.0,0.808,60.6,19.4,5.8,50.0,17.7,Fair,5.0,Low,31,0.0,False,High,2225.62,0,0.0
NY,2019,1837.0,1,608.0,Frame,8,188758.0,2000,Suburban,2.0,True,True,0.0,7.8,21.0,169636.0,0.052,63.9,80.2,3.1,72.0,5.3,Good,3.0,High,7,19122.0,False,Low,635.84,0,0.0
WA,2015,2995.0,0,682.0,Frame,2,264049.0,1000,Suburban,20.0,False,False,9.0,33.5,6.0,290267.0,0.441,17.3,21.2,12.2,45.0,9.4,Good,0.0,Moderate,11,0.0,False,Moderate,1495.2,0,0.0
LA,1977,2865.0,0,685.0,Frame,5,301044.0,5000,Urban,15.0,True,False,7.6,10.5,13.0,284032.0,0.291,23.7,37.4,58.2,81.0,18.4,Poor,3.0,High,49,17012.0,False,High,2745.29,1,4382.92
FL,2013,2182.0,1,774.0,Masonry,4,163273.0,1000,Suburban,30.0,True,True,18.4,27.0,7.0,145455.0,0.599,84.2,78.6,9.6,69.0,33.3,Fair,1.0,Moderate,13,17818.0,False,Moderate,1936.51,0,0.0
WA,1967,1382.0,0,808.0,Frame,9,565168.0,1000,Rural,11.0,True,True,5.4,28.2,73.0,570666.0,0.69,23.2,73.0,0.1,65.0,13.5,Fair,1.0,Low,59,0.0,False,Moderate,1143.41,0,0.0
MA,1967,1649.0,0,700.0,Frame,7,326760.0,5000,Suburban,31.0,False,True,18.0,4.0,89.0,349526.0,0.256,17.6,51.8,3.3,67.0,12.7,Good,3.0,Moderate,59,0.0,True,High,2471.85,2,2754.84
FL,1975,911.0,2,719.0,Frame,4,533641.0,2000,Suburban,19.0,True,False,9.7,8.5,10.0,596199.0,0.525,57.2,74.3,6.6,79.0,24.7,Good,1.0,Low,51,0.0,False,High,2688.3,0,0.0
FL,1951,2527.0,1,692.0,Frame,10,671560.0,1000,Urban,27.0,True,True,18.1,3.8,4.0,584731.0,1.148,6.0,66.0,19.3,46.0,3.3,Good,0.0,Moderate,75,86829.0,False,Very High,8305.3,1,7183.59
LA,1969,2461.0,0,680.0,Frame,9,849074.0,5000,Suburban,7.0,False,False,2.8,26.4,26.0,950987.0,0.925,26.1,23.1,60.0,55.0,25.6,Good,3.0,Moderate,57,0.0,False,Very High,4121.66,1,5416.03
CA,2013,2244.0,1,700.0,Frame,1,687391.0,500,Suburban,8.0,True,True,3.8,44.1,2.0,675598.0,1.264,37.3,27.1,0.0,71.0,1.1,Good,1.0,Low,13,11793.0,True,High,2382.91,0,0.0
TX,2006,2133.0,1,698.0,Frame,7,233416.0,1000,Suburban,14.0,False,True,11.3,9.8,36.0,256960.0,0.068,26.7,22.7,4.8,44.0,23.6,Fair,5.0,High,20,0.0,False,Moderate,1253.84,0,0.0
CA,1974,2947.0,2,700.0,Frame,5,319764.0,1000,Urban,28.0,False,False,18.7,43.4,32.0,272630.0,0.683,31.6,25.5,19.3,48.0,3.2,Fair,0.0,Moderate,52,47134.0,True,Very High,5663.76,3,12294.58
MA,1973,2364.0,1,700.0,Masonry,1,219569.0,500,Rural,15.0,True,True,4.5,10.3,34.0,188472.0,0.378,33.5,49.7,2.3,70.0,20.4,Fair,1.0,High,53,31097.0,True,Low,652.46,0,0.0
LA,1975,1895.0,0,747.0,Masonry,9,317633.0,1000,Suburban,24.0,True,True,14.7,0.7,26.0,348620.0,0.087,23.8,88.5,8.2,80.0,32.7,Fair,1.0,Low,51,0.0,False,Moderate,1324.94,0,0.0
LA,1958,2281.0,1,680.0,Frame,4,928286.0,1000,Urban,31.0,False,False,21.2,12.3,36.0,1063431.0,0.232,29.4,35.9,35.6,58.0,7.4,Good,3.0,Moderate,68,0.0,False,Very High,8541.85,1,15485.67
MA,1961,3326.0,0,700.0,Frame,9,548902.0,500,Urban,8.0,False,False,6.9,12.9,47.0,559314.0,0.065,13.4,88.0,6.4,92.0,24.0,Good,0.0,Low,65,0.0,True,Moderate,1595.62,0,0.0
NY,2023,2542.0,0,642.0,Masonry,5,751038.0,500,Rural,3.0,False,True,0.0,0.5,34.0,705910.0,0.24,80.4,13.9,5.5,90.0,12.6,Good,2.0,Moderate,3,45128.0,False,Low,881.17,0,0.0
CO,2001,1986.0,1,725.0,Frame,9,263121.0,2000,Urban,26.0,True,True,15.4,53.7,56.0,295376.0,0.02,74.0,67.1,4.5,100.0,1.2,Good,5.0,Low,25,0.0,False,High,3311.78,0,0.0
CA,2000,2176.0,0,700.0,Frame,7,437469.0,1000,Suburban,19.0,False,True,13.2,47.2,5.0,471144.0,0.75,20.0,14.2,16.0,71.0,34.3,Good,0.0,Low,26,0.0,True,High,3246.41,2,2327.14
CA,1970,2455.0,2,700.0,Frame,8,628035.0,2000,Urban,3.0,False,True,0.6,51.1,4.0,690651.0,0.543,31.3,29.2,3.4,96.0,20.0,Fair,0.0,Low,56,0.0,True,High,2257.58,2,4639.78
LA,2013,1968.0,2,665.0,Masonry,7,304999.0,5000,Suburban,23.0,True,False,13.3,5.6,7.0,347516.0,1.467,74.8,12.9,15.5,47.0,27.1,Good,1.0,Low,13,0.0,False,High,2792.36,2,9952.92
NY,1963,1920.0,0,572.0,Masonry,2,434006.0,1000,Urban,19.0,True,True,12.6,10.1,2.0,458646.0,0.282,63.2,67.7,2.9,66.0,8.2,Good,1.0,Low,63,0.0,False,Moderate,1503.77,1,1066.05
CO,2021,2194.0,0,797.0,Fire Resistive,5,734501.0,1000,Suburban,34.0,False,False,24.0,34.6,47.0,692498.0,0.569,67.6,45.5,0.0,59.0,4.2,Good,6.0,Low,5,42003.0,False,Very High,5790.53,2,21494.18
MA,1987,3035.0,0,700.0,Frame,4,753150.0,500,Suburban,18.0,False,False,12.5,15.7,23.0,705667.0,0.79,62.5,87.4,0.0,81.0,33.9,Good,1.0,High,39,47483.0,True,Moderate,1568.63,0,0.0
OK,1974,2635.0,0,679.0,Frame,2,608894.0,1000,Suburban,36.0,True,False,23.6,18.5,31.0,687251.0,0.053,13.5,66.3,7.6,50.0,8.6,Poor,0.0,Low,52,0.0,False,Very High,3577.24,1,5097.5
CO,2005,1975.0,0,703.0,Frame,6,471575.0,1000,Urban,21.0,True,False,13.4,30.4,114.0,426516.0,0.76,19.8,72.1,0.7,97.0,8.5,Fair,2.0,High,21,45059.0,False,High,2086.27,2,4695.59
CO,1980,2678.0,0,627.0,Frame,7,504310.0,500,Urban,17.0,False,False,6.1,26.4,65.0,547708.0,0.625,47.0,11.1,3.5,45.0,10.5,Poor,7.0,Low,46,0.0,False,High,2169.14,0,0.0
FL,1969,2205.0,0,832.0,Frame,2,290392.0,500,Suburban,32.0,True,False,18.7,7.5,12.0,305610.0,0.15,22.4,22.1,9.0,93.0,23.6,Fair,0.0,Moderate,57,0.0,False,Moderate,1221.61,0,0.0
CA,2000,2390.0,1,700.0,Masonry,10,1118004.0,500,Suburban,34.0,False,True,20.3,66.6,29.0,1082667.0,0.45,82.5,38.8,1.2,95.0,22.9,Poor,0.0,Moderate,26,35337.0,True,Very High,9119.82,1,8905.93
NY,2003,2339.0,0,675.0,Frame,4,268980.0,2000,Urban,12.0,True,False,3.8,5.4,25.0,272197.0,1.455,73.8,23.1,3.3,97.0,31.5,Good,3.0,Low,23,0.0,False,Low,901.65,0,0.0
TX,1994,1039.0,0,741.0,Frame,5,859899.0,2000,Urban,12.0,False,False,7.9,20.8,25.0,903629.0,1.205,62.4,53.9,5.1,50.0,21.6,Good,1.0,Low,32,0.0,False,High,2151.29,1,2584.12
NY,1984,700.0,0,616.0,Frame,3,201798.0,2000,Urban,21.0,True,False,11.8,3.3,27.0,183865.0,0.105,63.0,68.8,2.1,53.0,18.8,Fair,2.0,Moderate,42,17933.0,False,Low,977.26,0,0.0
WA,1974,2325.0,0,659.0,Masonry,3,424495.0,1000,Urban,18.0,False,False,4.7,46.6,43.0,410977.0,0.206,55.9,20.0,1.5,41.0,17.2,Poor,0.0,Low,52,13518.0,False,Moderate,1639.92,0,0.0
TX,1979,1731.0,0,706.0,Frame,3,568769.0,1000,Suburban,24.0,True,False,15.0,4.4,26.0,603629.0,0.067,12.4,37.1,0.0,88.0,27.4,Good,5.0,Low,47,0.0,False,Moderate,1836.24,1,1053.64
CA,2014,1298.0,1,700.0,Frame,2,345572.0,1000,Suburban,29.0,False,False,19.8,41.9,89.0,365879.0,0.02,72.5,69.1,1.0,77.0,14.4,Poor,1.0,High,12,0.0,True,Moderate,1754.76,3,4699.24
FL,1976,1748.0,0,698.0,Frame,8,243969.0,1000,Suburban,17.0,True,True,12.6,14.3,19.0,223983.0,0.101,68.2,34.9,23.7,42.0,34.4,Fair,4.0,Low,50,19986.0,False,High,2104.9,1,1665.08
FL,2021,2709.0,2,694.0,Frame,3,331083.0,500,Suburban,18.0,True,False,10.2,11.7,14.0,308310.0,0.25,68.9,65.0,2.9,45.0,11.6,Fair,1.0,Low,5,22773.0,False,Moderate,1653.01,1,1222.13
LA,1960,2397.0,0,735.0,Frame,7,428771.0,1000,Rural,40.0,True,False,25.0,6.6,42.0,492810.0,1.129,53.5,48.0,6.0,75.0,19.0,Fair,0.0,Moderate,66,0.0,False,High,3161.9,3,7269.32
CO,1962,2624.0,0,714.0,Frame,3,517202.0,1000,Urban,36.0,True,False,19.5,39.3,65.0,510115.0,0.337,46.8,19.5,2.4,77.0,13.7,Poor,4.0,High,64,7087.0,False,Very High,3906.06,1,7005.62
MA,1974,2449.0,1,700.0,Frame,1,454279.0,1000,Urban,33.0,False,True,17.2,15.9,12.0,407147.0,1.33,51.9,73.8,9.8,83.0,8.5,Fair,0.0,Low,52,47132.0,True,High,2409.34,1,4532.09
LA,1950,1695.0,0,720.0,Frame,5,507520.0,5000,Suburban,10.0,False,False,7.7,5.9,16.0,534866.0,0.053,43.4,13.2,27.0,99.0,30.5,Good,2.0,Moderate,76,0.0,False,High,2267.24,0,0.0
NY,2015,2627.0,0,680.0,Frame,10,557409.0,2000,Urban,36.0,False,False,21.5,18.6,41.0,490307.0,0.337,71.5,85.4,3.1,96.0,2.8,Good,0.0,Low,11,67102.0,False,High,3457.33,2,8639.33
MA,1975,2522.0,0,700.0,Frame,2,648805.0,1000,Suburban,19.0,True,True,14.3,29.2,1.0,705303.0,0.24,80.1,10.5,0.1,97.0,3.9,Fair,2.0,Low,51,0.0,True,Moderate,1397.17,0,0.0
TX,1957,2135.0,1,669.0,Masonry,6,389800.0,2000,Suburban,4.0,True,False,0.4,0.5,120.0,432858.0,0.231,43.9,41.3,0.5,60.0,4.3,Good,5.0,Low,69,0.0,False,Moderate,1031.15,0,0.0
CA,1995,2232.0,0,700.0,Masonry,6,559134.0,2000,Suburban,32.0,False,True,22.9,64.6,10.0,576214.0,0.037,13.7,85.4,6.4,90.0,4.2,Good,0.0,Moderate,31,0.0,True,Very High,5226.21,1,3690.08
CA,2020,2636.0,0,700.0,Frame,7,282673.0,2000,Rural,16.0,True,False,6.7,49.6,8.0,299696.0,0.192,43.3,82.1,4.4,55.0,7.6,Good,0.0,Low,6,0.0,True,Moderate,1568.28,1,2758.26
LA,2023,1788.0,1,768.0,Masonry,5,232529.0,1000,Suburban,36.0,True,False,22.0,0.5,62.0,225853.0,0.02,26.1,42.7,33.8,97.0,22.7,Good,0.0,Moderate,3,6676.0,False,Very High,3825.95,0,0.0
NY,1957,2798.0,0,819.0,Frame,7,389142.0,500,Rural,29.0,False,False,17.9,1.8,57.0,386332.0,1.133,20.3,87.7,1.6,100.0,4.2,Fair,1.0,High,69,2810.0,False,Moderate,1180.55,1,2623.99
TX,2008,2511.0,1,739.0,Frame,2,1500000.0,1000,Urban,30.0,False,False,19.3,0.5,12.0,1549520.0,2.495,58.6,45.4,27.3,58.0,2.0,Good,8.0,Low,18,0.0,False,Very High,9596.53,4,28193.69
NY,1976,2201.0,0,666.0,Frame,1,477085.0,2000,Urban,28.0,False,False,18.7,10.1,104.0,444351.0,1.364,74.6,45.5,6.3,63.0,16.0,Good,2.0,Low,50,32734.0,False,Moderate,1957.83,1,3772.43
TX,2011,3042.0,1,721.0,Frame,2,700546.0,2000,Urban,40.0,True,False,25.2,0.8,54.0,738651.0,0.341,76.1,27.8,9.8,82.0,23.2,Fair,7.0,Low,15,0.0,False,Very High,6753.51,3,11569.59
LA,1994,1488.0,0,695.0,Frame,9,818641.0,1000,Suburban,25.0,True,True,11.6,0.5,6.0,830258.0,0.398,10.8,50.6,4.9,73.0,26.5,Fair,0.0,Low,32,0.0,False,High,2602.66,0,0.0
NY,2004,1947.0,0,650.0,Frame,4,417204.0,500,Urban,13.0,False,False,11.1,16.7,27.0,408179.0,0.668,19.7,36.8,2.3,68.0,19.5,Good,1.0,Low,22,9025.0,False,Moderate,1322.82,1,1359.57
FL,2012,1825.0,0,704.0,Masonry,7,936705.0,2000,Rural,21.0,False,True,14.3,8.8,90.0,1003112.0,0.067,39.7,79.9,14.6,84.0,31.2,Fair,1.0,Moderate,14,0.0,False,High,2423.34,1,1220.07
FL,2016,2397.0,2,813.0,Frame,10,599770.0,1000,Suburban,0.0,True,False,0.0,1.2,1.0,638016.0,1.501,67.4,46.4,3.9,81.0,19.6,Fair,1.0,Low,10,0.0,False,High,2274.66,0,0.0
OK,1960,2850.0,0,619.0,Masonry,3,784461.0,1000,Urban,35.0,False,False,20.5,2.3,6.0,803829.0,0.428,69.0,22.8,9.0,62.0,14.5,Fair,5.0,Low,66,0.0,False,Very High,5847.42,2,17096.75
FL,2003,1659.0,0,647.0,Frame,2,524452.0,1000,Urban,21.0,True,True,13.5,14.0,48.0,561209.0,0.2,73.4,21.2,4.0,77.0,21.6,Good,1.0,Low,23,0.0,False,Moderate,1267.16,0,0.0
CA,1960,4018.0,0,700.0,Frame,1,537792.0,5000,Urban,35.0,True,False,27.9,37.4,64.0,543045.0,0.62,18.9,64.4,4.2,98.0,27.8,Good,0.0,Low,66,0.0,True,Very High,4001.48,2,20640.24
CA,2019,1835.0,1,700.0,Frame,8,911581.0,1000,Urban,33.0,False,False,16.5,51.6,120.0,986027.0,0.783,20.2,69.4,21.5,95.0,0.4,Fair,0.0,Low,7,0.0,True,Very High,6244.35,3,5972.15
GA,1996,2398.0,0,604.0,Frame,10,385458.0,500,Suburban,28.0,True,True,16.9,14.7,11.0,386722.0,0.138,34.6,25.1,2.6,86.0,15.1,Good,1.0,Low,30,0.0,False,High,2110.01,2,5060.05
WA,1964,2201.0,0,781.0,Masonry,5,557428.0,500,Urban,14.0,True,True,9.0,30.8,89.0,550841.0,0.28,9.5,35.0,10.9,93.0,5.5,Good,0.0,Low,62,6587.0,False,Moderate,1091.04,0,0.0
LA,1971,2225.0,0,665.0,Frame,10,501251.0,1000,Suburban,26.0,False,False,10.0,8.9,1.0,523670.0,1.341,81.7,42.6,5.8,43.0,13.0,Good,3.0,Low,55,0.0,False,High,3116.02,1,2702.93
TX,2016,1764.0,0,619.0,Masonry,6,511145.0,2000,Suburban,10.0,True,True,4.4,7.2,59.0,537919.0,0.314,51.2,12.1,7.2,52.0,21.5,Fair,6.0,Low,10,0.0,False,Moderate,1506.07,0,0.0
GA,1997,2787.0,0,837.0,Masonry,8,658161.0,1000,Urban,22.0,True,True,15.0,7.1,32.0,645763.0,0.556,37.4,86.9,0.5,67.0,14.7,Good,3.0,Moderate,29,12398.0,False,High,2065.91,1,1355.99
MA,1966,1730.0,1,700.0,Frame,3,559178.0,2000,Suburban,7.0,True,True,5.6,16.4,15.0,542454.0,0.294,37.0,59.9,2.1,60.0,17.1,Good,2.0,Low,60,16724.0,True,Moderate,1755.0,0,0.0
LA,2010,1227.0,0,643.0,Masonry,6,467630.0,2000,Urban,6.0,True,True,4.1,14.4,49.0,482658.0,0.445,84.6,74.2,25.4,51.0,3.5,Good,0.0,Moderate,16,0.0,False,Moderate,1329.6,0,0.0
NY,2003,1583.0,0,667.0,Frame,2,1030748.0,500,Rural,36.0,False,False,22.5,6.0,1.0,1118119.0,0.121,45.2,31.7,4.0,58.0,4.0,Good,1.0,Moderate,23,0.0,False,Very High,3574.42,0,0.0
TX,1955,2995.0,0,610.0,Fire Resistive,6,575721.0,1000,Urban,2.0,True,False,4.5,32.3,3.0,614728.0,0.458,73.1,64.7,8.8,61.0,22.3,Good,4.0,Low,71,0.0,False,Moderate,1269.23,0,0.0
CA,1970,2888.0,0,700.0,Frame,3,363104.0,1000,Rural,13.0,True,True,10.7,39.1,16.0,382712.0,1.436,79.9,81.5,2.1,70.0,12.7,Good,2.0,High,56,0.0,True,Moderate,1257.03,1,2432.11
WA,2012,1096.0,1,450.0,Frame,5,486018.0,5000,Urban,4.0,False,False,0.0,34.7,35.0,516255.0,0.203,31.3,16.3,3.2,68.0,8.9,Fair,0.0,Low,14,0.0,False,Moderate,1382.59,0,0.0
NY,1975,2648.0,0,650.0,Fire Resistive,3,485101.0,1000,Rural,7.0,True,False,2.0,9.7,2.0,437103.0,0.117,83.4,29.4,2.1,99.0,34.9,Good,2.0,Low,51,47998.0,False,Moderate,1189.71,0,0.0
TX,1952,1110.0,1,682.0,Masonry,9,377423.0,2000,Urban,29.0,True,True,19.9,17.7,4.0,362903.0,0.032,71.5,74.0,16.2,95.0,33.8,Good,3.0,Low,74,14520.0,False,High,3394.04,1,3326.05
